year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,game_pbp_url,contest_id,game_pbp_id
2023,16340,02/01/2023,Carson-Newman,1000,14,SAC,12850,/team/1000/16340,2,Mars Hill,1199,7,SAC,12850,/team/1199/16340,2,,,/contests/2389631/box_score,https://stats.ncaa.org/contests/2389631/box_score,https://stats.ncaa.org/game/play_by_play/5397573,2389631,5397573
2023,16340,02/01/2023,Academy of Art,30123,6,PacWest,19591,/team/30123/16340,2,Stanislaus St.,103,7,CCAA,828,/team/103/16340,2,,,/contests/2389635/box_score,https://stats.ncaa.org/contests/2389635/box_score,https://stats.ncaa.org/game/play_by_play/5398817,2389635,5398817
2023,16340,02/01/2023,Emmanuel (GA),30193,2,Conference Carolinas,4423,/team/30193/16340,2,Georgia College,1096,4,Peach Belt,12923,/team/1096/16340,2,,,/contests/2389633/box_score,https://stats.ncaa.org/contests/2389633/box_score,https://stats.ncaa.org/game/play_by_play/5397843,2389633,5397843
2023,16340,02/01/2023,Lenoir-Rhyne,1170,2,SAC,12850,/team/1170/16340,2,Belmont Abbey,2683,7,Conference Carolinas,4423,/team/2683/16340,2,,,/contests/2389632/box_score,https://stats.ncaa.org/contests/2389632/box_score,https://stats.ncaa.org/game/play_by_play/5398256,2389632,5398256
2023,16340,02/01/2023,Rollins,584,4,Sunshine State,919,/team/584/16340,2,Florida Tech,230,1,Sunshine State,919,/team/230/16340,2,,,/contests/2389636/box_score,https://stats.ncaa.org/contests/2389636/box_score,https://stats.ncaa.org/game/play_by_play/5397465,2389636,5397465
2023,16340,02/01/2023,Hawaii Hilo,2697,4,PacWest,19591,/team/2697/16340,2,Augustana (SD),41,0,NSIC,12853,/team/41/16340,2,,,/contests/2389637/box_score,https://stats.ncaa.org/contests/2389637/box_score,https://stats.ncaa.org/game/play_by_play/5397833,2389637,5397833
2023,16340,02/01/2023,Miles,422,4,SIAC,913,/team/422/16340,2,AUM,30093,3,Gulf South,858,/team/30093/16340,2,,10,/contests/2389630/box_score,https://stats.ncaa.org/contests/2389630/box_score,https://stats.ncaa.org/game/play_by_play/5397354,2389630,5397354
2023,16340,02/01/2023,Shorter,30151,10,Gulf South,858,/team/30151/16340,2,Morehouse,445,0,SIAC,913,/team/445/16340,2,,,/contests/2389628/box_score,https://stats.ncaa.org/contests/2389628/box_score,https://stats.ncaa.org/game/play_by_play/5397353,2389628,5397353
2023,16340,02/02/2023,Saint Leo,608,3,Sunshine State,919,/team/608/16340,2,Alabama Huntsville,10,1,Gulf South,858,/team/10/16340,2,,,/contests/2411985/box_score,https://stats.ncaa.org/contests/2411985/box_score,https://stats.ncaa.org/game/play_by_play/5407301,2411985,5407301
2023,16340,02/02/2023,Cal State LA,100,15,CCAA,828,/team/100/16340,2,Providence Christian,,2,,,,,,,/contests/2389639/box_score,https://stats.ncaa.org/contests/2389639/box_score,https://stats.ncaa.org/game/play_by_play/5398248,2389639,5398248
